"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"304",1,10,13,18,23,28,33,39,43,49
"305",1,10,12,16,25,28,34,39,44,49
"306",1,10,12,16,23,28,33,39,42,48
"307",1,10,13,20,25,29,34,39,44,50
"308",1,10,14,18,25,29,34,39,44,50
"309",1,10,15,16,22,28,33,39,43,48
"310",1,10,13,17,22,29,34,39,42,48
"311",1,10,12,16,25,29,34,39,43,48
"312",2,10,13,17,23,29,33,39,43,47
"313",1,10,13,17,24,29,33,39,43,48
"314",1,10,13,16,23,29,33,39,44,48
"315",1,10,12,16,24,28,34,38,43,48
"316",1,10,13,16,23,28,33,38,43,47
"317",1,10,13,17,24,29,34,40,45,49
"318",1,10,13,17,23,28,33,39,44,48
"319",1,10,13,18,24,29,33,39,44,49
"320",1,10,12,19,22,28,33,39,43,49
"321",1,10,12,19,24,30,34,40,44,49
"322",1,10,12,17,24,29,33,38,43,48
"323",1,10,12,16,24,28,34,39,43,49
"324",1,10,13,17,22,28,33,39,43,49
"325",1,10,15,16,24,29,33,39,43,48
"326",1,10,12,17,24,29,33,39,44,48
"327",2,10,13,16,22,28,33,39,43,48
"328",2,10,12,16,23,28,34,38,43,48
"329",1,10,13,17,25,30,34,39,44,50
"330",1,10,14,18,24,29,34,39,43,49
"331",1,10,13,16,23,29,33,39,43,48
"332",1,10,13,18,24,29,33,39,43,49
"333",1,10,12,17,25,29,34,40,44,50
"334",1,10,12,17,25,28,33,39,44,49
"335",1,10,13,17,22,29,34,39,43,50
"336",1,10,12,16,22,29,33,39,43,48
"337",1,10,13,16,25,28,34,39,44,48
"338",1,10,13,16,24,29,33,38,44,49
"339",1,10,13,16,22,28,33,39,43,49
"340",1,10,13,17,24,29,34,38,44,48
"341",1,10,12,19,24,29,34,39,43,48
"342",1,10,13,17,23,28,34,39,43,48
"343",1,10,13,16,25,28,33,38,43,49
"344",1,10,13,17,24,29,34,39,42,49
"345",1,10,12,18,24,28,33,38,43,48
"346",1,10,13,17,25,29,34,39,45,49
"347",1,10,13,17,22,28,34,38,43,48
"348",2,10,13,16,22,28,33,38,43,48
"349",1,10,12,18,22,28,33,39,43,48
"350",1,10,12,16,25,29,33,39,42,48
"351",1,10,13,17,23,28,33,38,43,48
"352",1,10,13,19,24,28,34,39,44,48
"353",1,10,14,18,25,29,34,39,43,49
"354",1,10,13,18,24,30,35,40,45,50
"355",1,10,13,17,22,29,33,38,43,47
"356",1,10,13,19,24,28,34,39,43,48
"357",1,10,12,17,23,28,34,39,44,49
"358",1,10,12,16,25,28,33,39,43,49
"359",1,10,13,19,24,28,34,39,44,49
"360",1,10,12,17,24,28,34,39,44,48
"361",1,10,12,17,25,29,33,39,43,48
"362",1,10,14,17,24,29,34,39,43,49
"363",1,10,12,18,23,28,33,39,43,48
"364",1,10,13,18,25,28,34,39,44,48
"365",1,10,14,17,24,29,34,39,43,50
"366",1,10,13,19,24,29,33,39,44,48
"367",1,10,13,20,24,29,34,39,43,48
"368",1,10,13,16,25,28,33,39,43,49
"369",1,10,13,18,24,30,34,39,44,49
"370",1,10,13,18,25,28,33,38,43,47
"371",1,10,12,18,23,28,34,39,44,48
"372",1,10,14,19,24,28,33,39,44,48
"373",1,10,12,18,24,28,33,39,43,48
"374",1,10,12,18,25,29,34,39,43,49
"375",1,10,12,16,24,28,33,39,43,48
"376",1,10,14,16,22,28,34,39,43,48
"377",1,10,13,16,24,28,33,39,44,48
"378",1,10,12,17,25,28,34,39,44,49
"379",1,10,12,16,22,28,33,38,42,47
"380",1,10,13,18,24,29,33,38,44,48
"381",1,10,12,20,24,29,35,39,44,49
"382",1,10,13,17,24,30,34,39,44,50
"383",1,10,12,16,25,28,33,39,43,48
"384",1,10,12,18,24,29,33,39,43,49
"385",1,10,12,16,25,28,34,39,43,49
"386",1,10,13,20,22,29,33,39,43,48
"387",1,10,12,20,24,29,34,39,43,48
"388",1,10,13,20,24,28,34,39,43,49
"389",1,10,13,19,25,29,34,39,44,49
"390",1,10,13,18,22,29,33,39,43,49
"391",1,10,13,20,22,29,34,39,43,49
"392",1,10,14,18,22,28,34,39,44,48
"393",1,10,12,17,24,29,33,38,43,49
"394",1,10,13,17,22,29,33,39,43,49
"395",1,10,12,18,24,28,34,39,43,48
"396",1,10,14,19,24,29,34,39,43,49
"397",1,10,13,18,24,28,33,39,43,48
"398",1,10,12,18,22,28,33,38,43,48
"399",1,10,14,16,23,28,34,39,43,48
"400",1,10,12,17,22,29,34,39,44,48
"401",1,10,13,18,22,28,33,38,44,48
"402",1,10,13,18,22,28,33,38,43,48
"403",2,10,12,17,25,29,34,38,43,48
"404",1,10,12,16,22,28,33,39,43,49
"405",1,10,12,16,22,29,33,39,44,48
"406",1,10,13,20,24,29,33,39,44,48
"407",1,10,12,16,23,29,33,39,43,48
"408",1,10,13,16,23,29,34,38,44,49
"409",2,10,13,16,23,28,33,38,43,48
"410",1,10,12,17,23,29,33,39,43,48
"411",1,10,14,17,25,29,34,39,44,49
"412",1,10,12,16,25,28,34,39,43,48
"413",1,10,12,18,24,29,34,40,44,50
"414",1,10,13,18,25,29,34,39,43,49
"415",1,10,12,16,22,29,33,39,43,49
"416",1,10,13,20,24,29,34,38,44,48
"417",1,10,14,17,22,29,34,39,44,48
"418",1,10,13,18,22,28,34,39,43,49
"419",1,10,13,17,22,29,33,38,43,48
"420",1,10,13,17,25,29,34,40,44,49
"421",1,10,12,17,22,28,34,39,43,48
"422",1,10,12,19,24,28,33,39,43,49
"423",1,10,14,16,24,29,33,39,43,48
"424",1,10,12,20,24,29,34,39,44,50
"425",2,10,12,17,22,28,33,39,43,48
"426",1,10,12,19,22,28,33,38,43,48
"427",1,10,13,17,23,28,33,39,43,49
"428",1,10,12,16,25,29,34,40,44,49
"429",1,10,12,17,25,28,33,39,44,48
"430",1,10,12,19,24,29,34,40,44,50
"431",1,10,13,19,25,28,33,39,43,48
"432",2,10,12,16,22,28,33,38,42,48
"433",1,10,14,19,24,29,34,39,44,49
"434",1,10,12,19,24,29,34,39,44,48
"435",1,10,13,16,24,28,34,39,44,48
"436",1,10,12,16,23,28,33,38,43,48
"437",1,10,14,19,25,30,34,39,44,49
"438",1,10,12,17,25,28,33,38,43,48
"439",1,10,13,17,24,29,33,39,44,48
"440",1,10,12,16,23,29,34,39,44,49
"441",1,10,13,16,24,29,34,39,44,50
"442",1,10,12,17,24,29,34,40,44,49
"443",1,10,13,20,24,29,35,40,44,49
"444",1,10,13,17,22,28,33,38,43,47
"445",1,10,13,16,25,28,34,38,43,48
"446",1,10,13,17,25,29,34,38,43,48
"447",1,10,13,18,25,28,34,39,43,48
"448",1,10,12,16,22,28,33,39,43,47
"449",1,10,12,16,25,29,34,38,43,48
"450",1,10,12,16,24,29,33,38,43,48
"451",1,10,13,16,24,29,34,40,44,49
"452",1,10,13,18,24,28,33,39,42,48
"453",1,10,14,18,24,29,34,39,44,49
"454",1,10,14,18,22,29,34,39,44,49
"455",1,10,14,17,24,29,34,39,43,48
"456",1,10,12,16,25,29,34,39,44,50
"457",1,10,12,16,24,28,33,38,43,48
"458",1,10,14,18,24,29,34,39,44,48
"459",1,10,13,19,24,30,34,40,44,49
"460",1,10,14,17,24,29,34,40,44,49
"461",1,10,15,20,24,29,34,40,44,50
"462",1,10,13,18,25,29,34,39,44,50
"463",1,10,12,18,22,29,34,39,44,48
"464",1,10,14,17,22,28,33,39,43,48
"465",1,10,14,17,22,28,33,38,43,48
"466",1,10,12,20,24,28,33,39,43,49
"467",1,10,13,16,24,29,33,38,44,48
"468",1,10,13,16,22,28,33,39,44,48
"469",1,10,12,18,24,29,33,39,44,48
"470",1,10,13,16,24,28,33,38,43,49
"471",1,10,14,18,24,29,33,38,43,48
"472",1,10,13,18,22,29,34,40,44,48
"473",1,10,12,17,22,29,33,38,43,48
"474",2,10,13,17,22,28,33,38,43,48
"475",1,10,15,18,24,28,34,39,43,49
"476",1,10,13,17,25,28,33,38,43,48
"477",3,10,13,16,22,29,34,39,43,48
"478",1,10,12,16,25,29,33,39,43,49
"479",1,10,13,16,23,29,34,39,44,48
"480",1,10,13,18,24,28,33,39,43,47
"481",1,10,12,17,24,29,34,39,43,47
"482",1,10,14,19,25,29,34,40,44,50
"483",2,10,13,16,23,28,33,39,43,48
"484",1,10,12,16,23,28,33,39,43,49
"485",1,10,14,17,23,28,33,38,42,48
"486",1,10,12,19,24,28,34,39,43,49
"487",1,10,13,16,23,29,34,39,43,47
"488",1,10,13,17,25,29,34,38,43,47
"489",1,10,13,20,25,29,35,40,45,50
"490",1,10,12,17,22,29,34,40,43,49
"491",1,10,13,19,23,30,34,39,44,50
"492",1,10,12,17,22,28,33,38,43,49
"493",1,10,12,17,24,28,33,39,43,49
"494",2,10,13,16,22,29,34,39,42,48
"495",1,10,12,18,25,29,34,39,44,48
"496",1,10,12,18,24,29,33,38,43,48
"497",1,10,12,20,24,29,34,39,44,48
"498",1,10,12,16,23,28,34,38,43,48
"499",1,10,12,19,24,29,34,40,43,49
"500",1,10,13,16,22,29,33,39,43,47
"501",1,10,13,18,25,28,34,39,44,49
"502",1,10,13,18,24,29,34,39,45,50
"503",1,10,13,20,24,28,33,38,43,49
"504",1,10,13,16,22,29,34,39,44,50
"505",1,10,14,16,23,29,34,39,44,48
"506",1,10,12,17,24,28,34,39,43,49
"507",1,10,12,19,22,29,34,38,43,49
"508",2,10,13,16,23,29,33,39,43,48
"509",1,10,13,18,22,29,33,38,43,48
"510",1,10,13,18,23,28,33,38,43,48
"511",1,10,13,17,22,28,34,39,44,48
"512",1,10,12,17,25,29,34,39,43,50
"513",1,10,12,18,25,29,33,39,44,49
"514",1,10,13,16,25,29,34,38,43,48
"515",1,10,13,17,23,29,34,39,44,48
"516",1,10,12,16,24,29,33,39,43,49
"517",1,10,13,20,24,30,35,40,45,49
"518",1,10,13,16,24,28,34,38,43,48
"519",1,10,12,19,24,29,34,39,43,50
"520",1,10,13,16,22,28,33,39,43,47
"521",1,10,12,19,22,29,34,39,44,49
"522",1,10,13,19,24,30,35,39,44,50
"523",1,10,13,17,23,28,33,38,43,47
"524",1,10,13,20,24,28,34,39,43,48
"525",1,10,12,20,24,29,34,40,44,49
"526",1,10,13,17,25,29,34,39,44,50
"527",1,10,13,16,22,28,34,39,44,49
"528",2,10,12,16,25,29,33,38,43,48
"529",1,10,13,16,25,29,34,40,44,49
"530",1,10,14,17,24,28,33,39,43,48
"531",1,10,12,17,24,29,34,39,42,49
"532",1,10,13,20,24,29,35,39,44,50
"533",1,10,13,17,24,29,33,39,43,50
"534",1,10,13,17,24,30,34,40,44,50
"535",1,10,12,17,24,28,33,38,43,47
"536",1,10,12,16,25,29,34,39,43,50
"537",1,10,13,16,25,28,33,38,43,48
"538",1,10,12,19,22,29,34,39,43,49
"539",1,10,13,18,24,29,34,40,43,48
"540",1,10,12,17,25,28,33,39,43,47
"541",1,10,12,17,24,28,33,38,44,48
"542",1,10,13,19,24,29,33,39,42,48
"543",1,10,13,18,24,29,34,40,44,48
"544",1,10,13,18,24,28,33,38,43,47
"545",1,10,13,17,25,29,33,39,44,48
"546",1,10,13,16,22,29,34,39,43,50
"547",1,10,12,20,24,29,35,40,44,50
"548",1,10,13,17,23,29,34,39,44,49
"549",1,10,12,16,23,28,34,39,43,48
"550",1,10,12,16,24,29,33,38,42,48
"551",1,10,13,18,23,28,34,39,43,48
"552",1,10,13,18,22,28,34,39,44,48
"553",1,10,13,17,24,29,34,38,43,49
"554",1,10,12,18,22,28,34,39,43,48
"555",1,10,12,17,22,28,33,38,43,47
"556",1,10,13,18,22,28,33,38,43,46
