"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"396",2,14,18,22,31,40,47,55,60,67
"397",2,14,18,27,34,41,47,54,60,68
"398",2,14,18,27,34,40,47,55,61,68
"399",2,14,18,25,34,40,47,55,60,68
"400",2,14,18,25,34,40,47,54,60,68
"401",2,14,18,24,35,40,47,54,60,68
"402",2,14,17,27,35,40,47,55,61,69
"403",1,14,18,27,34,41,48,55,62,68
"404",2,14,18,23,34,40,47,54,60,67
"405",2,14,18,23,35,41,48,55,61,67
"406",2,14,18,25,34,40,47,54,60,67
"407",2,14,18,24,34,40,47,55,60,67
"408",1,14,18,25,34,40,47,53,59,68
"409",1,14,17,23,31,39,47,53,60,67
"410",2,14,18,25,34,40,47,55,60,67
"411",2,14,18,27,34,40,47,54,60,68
"412",2,14,17,24,32,40,47,54,60,67
"413",1,14,18,25,34,39,47,54,60,68
"414",2,14,18,23,34,41,47,55,60,68
"415",1,14,18,25,34,41,47,55,61,67
"416",1,14,18,25,31,40,47,55,61,68
"417",1,14,18,25,34,41,47,55,62,68
"418",2,14,17,26,31,40,47,54,61,68
"419",1,14,18,23,34,40,47,55,61,69
"420",2,14,18,24,35,40,47,55,62,69
"421",1,14,20,25,34,40,47,54,61,67
"422",2,14,17,23,35,40,47,54,61,67
"423",2,14,18,26,34,40,48,55,61,70
"424",1,14,17,22,31,41,47,55,60,68
"425",2,14,18,23,34,40,46,54,60,66
"426",1,14,18,27,34,39,47,53,61,68
"427",1,14,18,23,31,40,46,54,60,68
"428",1,14,18,23,31,41,47,55,62,69
"429",1,14,18,24,34,41,47,55,60,67
"430",2,14,18,25,34,40,47,55,61,69
"431",1,14,17,28,34,40,47,54,61,68
"432",1,14,18,24,34,40,46,54,60,67
"433",2,14,17,24,34,40,47,55,61,67
"434",1,14,18,25,35,39,46,54,60,67
"435",2,14,18,27,34,41,48,55,61,68
"436",1,14,18,24,35,40,47,54,60,68
"437",2,14,18,27,34,41,48,55,61,70
"438",1,14,17,25,34,40,47,55,61,67
"439",1,14,17,24,34,40,47,53,60,68
"440",1,14,18,22,31,40,47,54,60,68
"441",1,14,18,24,34,41,48,55,62,68
"442",2,14,18,23,35,41,48,55,61,68
"443",2,14,18,28,34,40,47,54,61,69
"444",2,14,18,24,31,40,47,55,60,68
"445",2,14,17,22,34,40,47,54,60,68
"446",2,14,18,25,31,40,47,55,60,67
"447",2,14,18,23,31,40,46,53,60,68
"448",1,14,18,26,34,41,48,55,61,70
"449",1,14,18,26,34,40,47,54,61,68
"450",1,14,18,22,32,40,48,55,61,70
"451",1,14,18,26,34,42,49,56,62,70
"452",1,14,18,25,35,41,48,55,61,69
"453",1,14,18,25,34,41,47,55,61,69
"454",2,14,17,25,31,39,46,54,60,68
"455",1,14,18,23,31,39,47,54,61,69
"456",2,14,18,23,35,41,47,55,61,69
"457",2,14,17,22,35,40,47,54,60,67
